用户,评论
j***8,不知道是不是苹果的通病，信号差，而且有时会断触，卡顿
j***n,还行 就是快6000元的东西连个充电头都没配 不满意
不***一,也不知道是质检没弄好还是什么，自带的充电线一周就坏了。
j***y,果然一分钱一分货，不是很好用不够prom好用的，反应也有点慢，
8***8,一般般吧，国补收货好麻烦，要知道都不这么买了，搞了好久好久
j***n,手机容易黑屏 拍照检查拍黑的出来 卡顿 可能是翻新或者其他的
世***修,新机电池就只能正常用一天…打接电话少 刷视频也就个把小时…
咔***k,手机质量一般般，出现了点问题，再用一段时间看看怎么样
V***V,双十一活动期间的价保服务不是很满意，金融优惠幅度不一样无法享受价保。手机的运行使用现在用着还是挺好的。
u***v,花了大几千的东西、包装简陋。打开包装手机壳子上一个黑黑的手指印。
w***k,对于独处时喜欢外放音乐的人来说，扬声器有呲啦声真的很致命。已申请换货，换货需要多久也不知道。耽误我使用
看***处,屏幕右上角有两条细微划痕，已激活，退不了了。买这些回，第一次遇到。
薰***枫,昨天买回来今天刚用就发现问题了，接打电话经常没声音，还会自动挂断
j***f,包装盒很脏磨损明显 开出来的手机有灰有污渍 但手机是好的就算了
j***t,以旧换新：拍照卡顿，看一会直播手机就热了，不知道是不是质量问题
冬***n,突然关机，这种情况已经 3 次了。大家有没有遇到过这种情况(ﾟДﾟ≡ﾟдﾟ)!?
u***m,使用过程偶尔有卡顿、断触情况，玩个保卫萝卜偶尔都能卡到界面不动，慎买
j***s,iPhone 16 128G 左上角触感间断性失灵 无法返回 有点扎心啊
j***婆,我买得比别人贵，同样的产品没有享受到补贴，没有提示客户不能和其他商品一起拍 京东应该承担一些责任
Q***f,用了不到一个月就开不了机，用去维修了几个星期了，还没寄回来😓
4***e,机身后盖比较脆弱，一不小心摔一下就有裂缝，需要保护好
h***9,跟pro没法比，一用就发热，60hz屏幕跟幻灯片似的，由奢入俭难啊
j***i,不肯上门，一定要我去代理点，写着送货上门结果要自己开车去拿，机子没问题，盒子有点脏。
j***n,扬声器异常最小声音听着都很大！！ 屏幕音效：异常
j***k,怎么说呢，既然是搞活动，说实话，送充电器比送那个什么保值2年维修要好啊，至少让用户可以二选一嘛，自己去买个充电器还要几百
羊***怪,还是有点瑕疵的，手机很好，就是有一道划痕，客服说可能要花挺长时间换货，随他去吧，
n***d,快递包装破损，有怀疑手机是否有被替换过。客户体验感不好，快递小哥一句话你可以拒签就完事。京东自营和京东快递，要给客户信任感
j***d,用起来有点卡顿 电量基本每天都要充两次还是在不打游戏的情况下
j***n,收到包装破损，外盒脏，不知道24小时可以申请赔偿，所以没有申请到。大家购买后如果包装有问题一定要24小时内申请售后。
j***t,手机坏了，觉得京东速度快今天买明天到才下的单，结果第三天晚上才到我手里，买个手机买了一肚子火
q***d,用了一个星期，手机发烫好厉害，刚开始还没有，26号开始刷视频烫手
8***r,激活后贴膜才发现手机屏幕有一条划痕，激活了没办法退货，只能认栽了
悦***8,感觉新到手。反应不是很快。 点击多几次app 停在哪。返回不了主页
j***0,哪个返回键老是喜欢失灵点着没反应，天气预报也是老不显示信号也差
_***e,续航差，想出手。。。
没***0,谨慎购买，版本不一样，有些软件下载不了，比如监控视频的移动爱家和莹石云下载不了
j***8,不怎么好用，屏幕，照相很一般，比同价位的国产差，电也差
u***1,对电池有要求的千万别买，不然你看那电量下降会觉得自己买的是个二手的
j***a,新买的，苹果尽然会卡，卡得动不了，要重新开机，我怀疑是烂机翻新，找客服也没有人工回复
绿***瓶,手机总体还不错，就是后面电池盖和中框，有明显的间隙，影响美观
S***8,国补价格很划算，但是这就开不了发票了，感觉左上角触键不灵敏，不知道算不算翻车
一***灾,新国补要求现场拆封，开机验证，感觉好怪，是怕退货吗？如果现场弄时不当心摔碰了算谁的，看在这个价格也就忍了
z***1,商品拆封后发现摄像头有掉漆问题，平台以激活为理由不予换货，体验不佳，后续反复投诉后才进行处理，希望后续能够改进。
是***呦,感觉苹果16不好用，也不知道网购的事，软件动不动退出来😭和实体店一样钱，以后不从网上买了
j***f,手机出现过2次点屏幕没反应，联系售后客服说要去检测才给售后，以后还是去实体店买
-***姐,收到就打开壳子验收，手机没动没激活。不喜欢就寄了回去，居然退不了，七天无理由退货是喊口号呢。
j***0,手机不配充电头，用爱发电吗，讲究环保那就直接把卖价里得充电器的钱去掉
坤***坑,下单的以旧换新 不知道怎么的变成了全价正常购买了 没注意直接拆了 退不了 单独回收旧机差八百多 血亏 客服还没办法修改
j***j,序列号是H开头，设备打游戏说实话不灵敏～跟之前买的苹果手机F开头感觉是有差距的
2***k,分期时注意不要和顺手一单一起，不然你会多出700多手续费，多方投诉解决你也会损失几百元.经验交流
p***4,整体都很好 其他没啥，就是感觉续航不是很满意 反正整体感觉就是一般
懒***起,说实话，不惊艳，新机到手第一天相机卡，有点断触，不能退，不会在平台上买了
u***a,国补买的，感觉很一般，系统有点卡顿，相机打开后过一会才会出来
敬***下,东西还行，但京东的物流和服务真差劲，要不是穷，差这点补贴，真不愿意下载京东
j***o,国补让我成功入坑，手机信号不好，还没我5年前的安卓手机信号好，拆封了售后服务态度挺好，但原则就是不给退。
j***o,国补优惠后买手机性价比很好 但是我这台手机 快递员帮我激活拍照的时候稍微有点粗鲁 毕竟新买的手机 还是挺在意的…… 建议让客户自己激活 快递员拍照取证就行
f***5,购买后就出现了降价，还发放了优惠券。然而，我已经无法申请价保。收到后，不清楚原因，使用过程中连无线会感到卡慢。
j***3,屏幕有个小裂痕，撕膜时没注意，激活用了一晚后去贴膜才发现，唉怪自己倒霉吧
老***星,外包装盒脏的很，里面手机正面有水印，后面有半个指纹印，看看使用情况吧
s***j,音质不好，沙哑的声音，拍照一般……待机时间还行……体验较差！
森***啊,这是第二个手机了，目前正在观察，上个手机刚到手好好的，一个月后各种问题
C***e,手机一般，苹果的品控远不如以前，机身多处脏污，尾插螺丝有一圈圆形划痕，续航一般
j***G,买过45天，降价300元
j***z,续航有点不行，感觉有点跳电。其他都一样，因为之前也是用的iPhone
u***z,纯白背景左边边缘一条有点泛红，中奖了，虽说是通病，但是朋友官网激活也能一直换，京东客服连个活人都没有，只有机器人
q***8,冲着以旧换新补贴买的，就没有等国补，但是以旧换新上门时候检测手机严重压价，因为选择的是先送新机再二次上门回收，所以不好退货了
u***u,用习惯了大一点的对于这款小巧的机身真的不习惯，手感不好，视觉上也不好。
j***D,使用了几天，基本上是一天一充，新机子怎么耗电量这么快，还有不方便的是没有指纹解锁
這***水,本人第一次在京冬自营店购买 i p h o n e 手机，我选择了自营配送，河北省发货，快递包装没有填充物，手机电池不耐用，其它暂时没有什么大问题
4***i,昨天我们刚完成了手机的数据转移，今天用了两个小时手机背部就发热发烫，请问商家是你的手机质量有问题吗？或是电池的问题，希望你能给我们一个满意的答复和解觉方案。
j***4,十分不满意，买了不久就发现拍照摄像头有问题沟通完了，上门取件也费劲
肖***迪,收到手机的第一时间自己没有检查，让粗心老公检查的，后来我发现外观瑕疵，但是因为设置了一通已经激活过，也不能换货，只能怪自己运气不好，给自己添堵
j***x,不知道为什么，有时候切换到照相功能的时候就卡住，我是国补的时候买的，感觉还没我的13好用，不敢肯定是不是全新机了
j***k,一言难尽，频繁出现闪退和无法拍照，黑屏的问题。网购手机最差体验
j***o,不要买苹果了，现在的苹果不行了，信号差，还卡机，之前买的11用了四年半，都没事
y***0,各种各样的小毛病，但是检测出来又没问题，老是卡页面还有时候扩音器炸声卡顿
d***8,屏幕音效：屏幕是京东方的 拍照效果：摄像头是高伟电子。 便宜的价格用的器件都不太好！大家还是且行且珍惜吧！
u***7,右下角缝隙这里刚打开就看着有脏东西，像是用过的，但是手机打开看不出什么问题～
7***f,充电线是假的，昨晚充电发生意外了，插口都在融化，还发出火花，臭味
j***7,再也不买苹果手机了 还不如千元手机呢 功能都是苹果专用 没有无理由退货 不然就退了 霸王条款
j***8,16屏幕左侧一排触摸不灵，经常点击无反应.一直用苹果手机，以前没有这种情况，挺影响使用手感.
j***1,刷久了会黑屏，刷新率也不行，像素一般般，价格也不实惠，黑色不好看。
4***3,外观瑕疵的概率挺大的，换了一次还是有个小凹坑，想想还是开机激活了，希望不要有质量问题吧
Z***J,一般吧，买个手机居然不配充电器，出厂膜都没有一个，电池也不耐用
十***汤,手机质感不错 苹果 系统 不是很方便 信号差充电满 而且降价太快了。
J***然,买早了，刚买完半个月就碰到湖北的国家补贴。现在买的话可以再优惠500元，找客服了但不能补差价，感觉自己亏了啊，希望政策能有所调整，而且因为之前买了一个，现在限制半年只能买一个有点不开心了
c***o,从12换成16，没感觉有什么不一样的，主要是12内存不够用了，感觉12换个电池还能再战5年。
q***g,膜都没有，服了……
C***J,手机感觉还可以，就是这配件太少了 连个充电器都要自己买买回来还不能有 还要等充电器。
京***u,怎么会自动关机？电池也不行一天要充两次电，不打游戏就正常刷刷
I***l,国补绑定了个保修，还是质量问题才保，意外摔坏不保，那要保修有何用，还不如线下店去买呢，我真服了
j***p,拍照一如既往的差，跟普通的安卓旗舰都没法比。屏幕发黄，显示效果跟我几年前的se2没法比。体验实在一般。
